"","coordinatorCountry","countryName","coordinator","totalCost","latitude","longitude"
"120","AT","Austria","TECHNISCHE UNIVERSITAET GRAZ","3029223.96",47.33333,13.33333
"121","AT","Austria","Institute of Science and Technology Austria","2306862",47.33333,13.33333
"122","AT","Austria","TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH","4192058.75",47.33333,13.33333
"123","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","1460826",47.33333,13.33333
"124","AT","Austria","UBERGRAPE GMBH","71429",47.33333,13.33333
"125","AT","Austria","UNIVERSITAET INNSBRUCK","1499260",47.33333,13.33333
"126","AT","Austria","Institute of Science and Technology Austria","9180400",47.33333,13.33333
"127","AT","Austria","Sign time GmbH","71429",47.33333,13.33333
"128","AT","Austria","EIBIR GEMEINNUETZIGE GMBH ZUR FOERDERUNG DER ERFORSCHUNG DER BIOMEDIZINISCHEN BILDGEBUNG","995287.5",47.33333,13.33333
"129","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","166156.8",47.33333,13.33333
"130","AT","Austria","CNSYSTEMS MEDIZINTECHNIK AG","71429",47.33333,13.33333
"131","AT","Austria","AVL LIST GMBH","9945610.68",47.33333,13.33333
"132","AT","Austria","UNIVERSITAET GRAZ","166156.8",47.33333,13.33333
"133","AT","Austria","MONTANUNIVERSITAT LEOBEN","1499679",47.33333,13.33333
"134","AT","Austria","HELIOZ GMBH","71429",47.33333,13.33333
"135","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","2996653.75",47.33333,13.33333
"136","AT","Austria","Institute of Science and Technology Austria","1500000",47.33333,13.33333
"137","AT","Austria","UNIVERSITAT WIEN","1497202",47.33333,13.33333
"138","AT","Austria","UNIVERSITAET INNSBRUCK","178156.8",47.33333,13.33333
"139","AT","Austria","UNIVERSITAT WIEN","2495190.99",47.33333,13.33333
"140","AT","Austria","OESTERREICHISCHE FORSCHUNGSFOERDERUNGSGESELLSCHAFT MBH","1216638.75",47.33333,13.33333
"141","AT","Austria","UNIVERSITAET INNSBRUCK","2421223.75",47.33333,13.33333
"142","AT","Austria","AVL LIST GMBH","3920302.5",47.33333,13.33333
"143","AT","Austria","TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH","4613831.25",47.33333,13.33333
"144","AT","Austria","UNIVERSITAT WIEN","1487396",47.33333,13.33333
